time,high,low,open,volumefrom,volumeto,close
1503021600,523.49,468.83,485.83,38135.15,19816670.58,519.64
1503025200,520.44,472.9,518.39,18377.95,8929045.56,490.5
1503028800,525.12,491.34,492.27,26418,13499880.14,511.01
1503032400,515.99,495.62,508.99,11050.06,5608775.9,513.28
1503036000,514.8,497.66,512.21,17456.42,8777077.71,502.8
1503039600,503.53,455.98,500.71,15977.58,7533851.73,458.89
1503043200,499.68,456.83,458.27,20747.96,10234041.13,493.26
1503046800,507.81,487.05,492.35,13643.97,6805995.94,498.73
1503050400,506.28,487.16,499.41,17297.3,8501639.07,491.5
1503054000,506.4,485.93,489.04,9664.83,4805794.16,495.34
1503057600,518.21,495.32,495.34,14884.86,7555089.23,509.9
1503061200,555.21,508.61,509.9,25855.39,13893160,554.88
1503064800,592.09,550.88,554.88,37378.46,21327540.86,553.23
1503068400,574.16,537.23,553.23,22162.51,12376780.36,567.65
1503072000,585.32,544.2,567.65,19708.9,11198126.72,578.95
1503075600,617.35,576.55,578.95,21008.77,12462090.6,616.17
1503079200,698.8,607.31,616.17,52835.27,34495703.66,663.56
1503082800,666.09,607.45,663.56,42053.53,26760705.91,631.95
1503086400,690.62,629.95,631.95,22540.51,14755531.18,673.9
1503090000,777.54,668.76,673.9,51476.71,37236019.6,773.37
1503093600,774.66,689.59,773.37,43669.91,32025323.74,729.31
1503097200,728.7,661.79,725.23,47407.9,32658405.64,688.88
1503100800,722.59,651.61,689.83,16513.26,11335425.68,679.03
1503104400,677.21,648.56,679.9,24532.79,16124965.67,657.28
1503108000,659.59,604.03,651.85,20334.82,12736543.78,609.29
1503111600,674.1,598.19,606.34,30361.16,20391360.11,671.63
1503115200,672.56,631.84,668.5,9091.82,5941547.31,641.14
1503118800,705.58,641.14,641.14,16021.12,10936552.1,692.28
1503122400,711.5,673.2,701.11,31809.4,22086706.11,694.35
1503126000,759.91,703.95,694.35,32993.96,24403328.44,739.63
1503129600,745.93,712.61,739.63,28107.93,20707143.51,736.7
1503133200,742.57,723.09,733.83,8926.23,6556437.96,740.78
1503136800,828.66,739.88,740.78,28797.23,22653634.78,815.84
1503140400,898.7,786.34,815.84,38367.99,32516123.52,888.59
1503144000,965.48,798.86,888.59,60708.11,53137373.53,826.36
1503147600,878.46,776.68,826.36,31847.22,26474321.13,878.45
1503151200,934.5,835.85,878.45,28689.42,25428006.96,908.15
1503154800,910.72,821.75,908.15,27190.5,23493815,843.15
1503158400,878.92,797.65,843.15,19273.87,16087350.26,868.36
1503162000,875.71,807.06,868.36,15148.63,12765101.86,815.36
1503165600,817.81,737.01,815.36,28323.6,21809168.05,793.62
1503169200,820.82,766.46,798.4,24684.42,20039580.38,811.83
1503172800,842.61,786.93,811.83,25407.11,20287019.19,798.48
1503176400,799,743.84,798.48,34309.11,26410142.13,769.77
1503180000,786.39,724.01,769.77,22247.87,16172494.63,726.92
1503183600,739.44,674.54,728.57,28210.97,19850070.73,738.54
1503187200,810.21,738.29,738.54,23538.05,18270452.71,797.94
1503190800,849.16,792.38,797.94,15587.25,12832221.84,810.01
1503194400,831.49,783.59,810.01,10523.99,8456215.28,785.07
1503198000,802.61,753.21,784.41,19180.55,15284794.93,796.89
1503201600,809.55,778.91,796.8,5388.72,4280291.68,785.36
1503205200,785.36,742.47,785.36,6398.34,4879476.67,768.53
1503208800,782.22,745.34,766.46,11964.33,9329305.47,779.76
1503212400,836.61,769.4,779.62,8653.95,7005240.6,820.53
1503216000,821.19,792.19,820.53,7768.34,6273463.67,803.36
1503219600,803.23,783.03,805.83,10097.16,7943868,786.74
1503223200,812.36,782.17,785.87,6011.23,4814719.76,791.98
1503226800,791.53,740.73,790.14,19740.12,14986041.52,759.17
1503230400,774.54,747.83,759.17,13519.8,10332731.04,764.27
1503234000,773.34,755.02,764.27,12014.33,9119954.97,759.09
1503237600,765.82,755.6,759.09,10466.87,7917354.04,756.42
1503241200,758.36,699.58,758.33,17695.05,12748510.27,713.44
1503244800,732.2,689.81,713.44,13487.97,9559905.67,697.59
1503248400,716.65,677.96,697.59,14289.13,9940190.16,705.78
1503252000,709.37,688.13,705.78,6661.25,4656102.67,708.54
1503255600,757.9,708.47,708.54,14737.27,10867242.67,757.84
1503259200,789.62,746.52,757.84,22539.76,17337731.83,757.12
1503262800,761.84,723.29,757.12,8899.94,6596618.39,740.09
1503266400,744.97,716.8,740.09,5218.29,3821101.58,717.5
1503270000,734.38,707.16,717.5,7041.49,5060107.81,719.27
1503273600,723,706.44,719.27,3786.34,2711362.61,720.68
1503277200,741.55,714.66,720.53,14295.41,10367827.01,725.26
1503280800,749.56,722.34,725.26,9175.95,6874170.43,749.15
1503284400,751.2,736.97,749.15,9447.64,6974131.23,738.19
1503288000,742.07,720.87,738.19,10978.35,7918441.32,721.28
1503291600,730.08,688.48,720.36,6065.36,4258282.79,692.33
1503295200,695.48,668.9,692.33,12558.49,8528046.04,671.75
1503298800,712.37,669.74,671.75,8396.52,5821613.76,690.66
1503302400,698.38,673.99,688.11,13037.16,8877035.81,680.9
1503306000,687.54,641.05,681.04,11666.55,7682779.83,641.5
1503309600,651.8,634.73,641.5,9545.21,6137984.34,644.28
1503313200,661.38,627.87,643.96,13410.13,8446872.46,629.89
1503316800,637.7,606.59,632.04,13359.18,8287444.78,622.08
1503320400,625.53,557.92,622.08,26259.69,15380443.19,578.82
1503324000,631.7,576.27,578.82,21738.62,13217294.94,603.55
1503327600,629.74,588.57,603.55,12246.66,7481572.58,593.66
1503331200,613.73,575.71,593.66,7508.58,4452724.35,587.88
1503334800,597.78,579.24,587.88,5686.68,3334532.05,588.17
1503338400,625.1,584.38,588.17,9594.77,5841210.49,623.47
1503342000,625.81,602.9,622.79,11624.96,7223579.56,621.39
1503345600,660.81,618.91,620.31,15827.2,10197966.5,653.04
1503349200,653.96,616.87,653.04,6809.68,4295707.12,618.05
1503352800,618.46,596.82,610.57,4930.41,2991703.29,597.2
1503356400,609.16,590.26,597.2,5765.48,3459797.66,605.22
1503360000,605.79,575.31,605.22,7531.33,4448620.4,580.06
1503363600,588.89,565.78,579.71,10551.84,6165086.44,584.27
1503367200,620.52,589.78,584.27,16892.76,10068241.72,596.01
1503370800,599.92,579.94,596.01,8162.22,4893545.38,599.54
1503374400,608.13,564.96,599.54,13297.39,8086574.33,608.13
1503378000,630.35,602.11,608.13,16318.29,9966705.11,610.77
1503381600,663.27,607.9,609.97,15150.4,9645572.18,662.64
1503385200,734.16,662.18,662.64,39563.81,27700887.55,687.9
1503388800,732.4,686.87,687.9,16044.77,11447825.77,705.92
1503392400,748.33,692.13,714.89,27148.94,19484104.82,717.67
1503396000,710.13,680.97,717.67,14933.27,10383934.06,695.36
1503399600,719.63,698.53,695.36,12742.13,9079952.95,712.59
1503403200,708.92,669.89,707.61,6889.45,4719327.98,681.88
1503406800,692.42,652.92,665.16,6936.97,4659714.58,664.57
1503410400,683.99,667.99,673.2,11539.08,7739544.55,670.72
1503414000,669.67,645.54,668.8,7545.15,4925633.13,652.15
1503417600,667.72,625.06,652.15,9020.75,5820031.43,643.49
1503421200,682.24,640.15,644.48,19457.08,13258797.57,681.44
1503424800,700.5,659,681.44,10985.1,7261749.04,661.05
1503428400,671.04,648.4,661.05,10927.43,7112345.36,650.87
1503432000,672.68,642.12,650.87,10907.21,7328157.52,671.86
1503435600,676.34,661.6,671.86,6978.46,4654079.74,666.92
1503439200,702.95,661.17,663.24,6117.83,4218585.86,694.64
1503442800,694.9,674.28,694.64,5125.51,3505933.7,684.6
1503446400,710.85,684.6,684.6,5276.81,3697588.33,703.63
1503450000,717.59,683.28,707.23,10456.89,7153636.77,684.11
1503453600,688.33,669.01,684.11,8488.7,5762776.26,678.88
1503457200,678.22,655.64,678.88,11195.52,7441298.27,664.67
1503460800,670.6,659.08,664.67,6965.15,4613540.74,662.37
1503464400,684.57,660.43,662.86,4454.53,3011541.89,677.37
1503468000,701.42,675.09,680.54,9039.73,6110107.69,675.92
1503471600,678.8,665.62,675.92,7016.44,4699171.23,669.74
1503475200,686.86,671.87,669.74,7977.82,5370042.37,673.12
1503478800,685.58,662.69,673.12,11267.87,7471865.9,663.11
1503482400,669.44,659.29,663.11,7459.48,4987378.19,668.6
1503486000,679.04,664.23,668.6,7872.8,5239336.97,665.5
1503489600,663.99,659.78,665.5,7089.19,4689230.92,661.46
1503493200,662.6,653.76,661.46,9877.29,6511443.08,659.23
1503496800,669.92,653.58,659.23,6717.08,4499907.83,669.92
