time,high,low,open,volumefrom,volumeto,close
1438945200,27.71,0.7786,0.7802,2343.49,4954.42,2.114
1438948800,3.481,2.125,2.114,10137.95,28230.14,2.785
1438952400,2.776,2.776,2.785,3017.93,8376.57,2.776
1438956000,3.615,2.503,2.776,14482.47,50342.88,3.476
1438959600,3.474,2.846,3.476,3028.08,10392.19,3.432
1438963200,3.485,3.43,3.432,3255.96,11348.24,3.485
1438966800,3.483,2.229,3.485,9656.59,26637.1,2.758
1438970400,2.789,2.705,2.758,1787.67,4985.63,2.789
1438974000,2.787,2.536,2.789,1112.53,3100.73,2.787
1438977600,2.786,2.786,2.787,593.01,1652.13,2.786
1438981200,2.762,2.624,2.786,1379.37,3806.01,2.759
1438984800,2.773,2.634,2.759,79.27,219.82,2.773
1438988400,2.769,2.492,2.773,2710.23,7490.43,2.764
1438992000,2.779,2.751,2.764,880.39,2446.25,2.779
1438995600,2.764,2.764,2.779,3.1,8.567,2.764
1438999200,2.763,2.763,2.764,26.19,72.37,2.763
1439002800,2.79,2.483,2.763,5763.81,14310.06,2.483
1439006400,2.641,2.474,2.483,2947.45,7703.11,2.613
1439010000,2.766,1.846,2.613,6166.3,11685.23,1.895
1439013600,3.481,1.507,1.895,20144.64,34913.62,1.733
1439017200,1.958,1.509,1.733,20517.29,39862.12,1.943
1439020800,1.946,1.26,1.943,17341.02,25008.36,1.442
1439024400,1.998,1.381,1.442,29443.9,48558.63,1.649
1439028000,1.767,1.323,1.649,31186.88,43052.5,1.38
1439031600,2.242,1.219,1.38,25379.88,33534.09,1.321
1439035200,1.51,1.259,1.321,25250.02,36440.63,1.443
1439038800,1.612,1.247,1.443,12777.01,16339.34,1.279
1439042400,1.374,1.212,1.279,22094.63,27640.93,1.251
1439046000,1.344,1.232,1.251,32094.98,41735.23,1.3
1439049600,1.312,1.194,1.3,32766.45,39464.65,1.204
1439053200,1.225,0.9989,1.204,77216.94,78687.78,1.019
1439056800,1.02,0.15,1.02,1579.94,634.1,0.15
1439060400,0.9083,0.5793,0.7591,81401.54,52935.15,0.6503
1439064000,0.8955,0.6675,0.6503,35783.28,30056.19,0.84
1439067600,0.9997,0.8197,0.84,13724.28,13596.09,0.9907
1439071200,0.994,0.6924,0.9907,76616.1,61498.12,0.8027
1439074800,0.8311,0.6927,0.8027,46478.61,36171.44,0.7782
1439078400,0.7763,0.6022,0.7782,75903.47,54644.65,0.7199
1439082000,0.8123,0.6156,0.7199,36051.78,22777.49,0.6318
1439085600,0.6681,0.5823,0.6318,38482.02,25080.46,0.6517
1439089200,0.9468,0.6717,0.6517,16018.16,12358.02,0.7715
1439092800,0.7961,0.6679,0.7715,23031.15,18190.42,0.7898
1439096400,0.8311,0.7307,0.7898,12371.17,9841.28,0.7955
1439100000,0.8009,0.7215,0.7955,15597.93,12176.19,0.7806
1439103600,0.9676,0.7342,0.7806,40809.95,30154.12,0.7389
1439107200,0.789,0.6843,0.7389,25607.49,17869.25,0.6978
1439110800,0.8103,0.696,0.6978,22065.28,17193.85,0.7792
1439114400,0.7517,0.6134,0.7792,79232.15,49141.29,0.6202
1439118000,0.7408,0.6686,0.6202,11929.87,8504.25,0.7129
1439121600,0.7013,0.6488,0.7129,42481.98,27561.28,0.6488
1439125200,0.7164,0.6548,0.6488,21005.18,14797.12,0.7045
1439128800,0.726,0.6779,0.7045,15655.96,11121.23,0.7104
1439132400,0.7339,0.6909,0.7104,6147.87,4411.37,0.7175
1439136000,0.7975,0.7079,0.7175,15900.94,12672.17,0.7969
1439139600,0.7768,0.7263,0.7969,12260.53,9323.44,0.7604
1439143200,0.7721,0.7106,0.7604,37173.13,27985.23,0.7528
1439146800,0.7709,0.6816,0.7528,57096.73,41713.02,0.7306
1439150400,0.7789,0.7354,0.7306,50340.64,38828.07,0.7713
1439154000,0.8182,0.748,0.7713,18065.63,14353.61,0.7945
1439157600,0.8321,0.7663,0.7945,45063.07,35045,0.7777
1439161200,0.7876,0.7197,0.7777,18827.5,13645.26,0.7248
1439164800,0.7458,0.671,0.7248,48887.75,33695.14,0.6892
1439168400,0.7184,0.5994,0.6892,43880.41,29288.14,0.6675
1439172000,0.7097,0.6595,0.6675,14905.13,10298.48,0.6909
1439175600,0.7331,0.6617,0.6909,5228.31,3738.41,0.715
