time,high,low,open,volumefrom,volumeto,close
1506240000,674245.7,1.399,1.431,60772.1,115615.03,1.902
1506243600,3350760,1.396,1.902,71430.4,160760.82,2.251
1506247200,2.343,1.402,1.899,57675.77,96995.65,1.682
1506250800,16915.8,1.444,1.682,598473.06,911128.55,1.522
1506254400,1.682,1.42,1.522,437451.59,732081.92,1.674
1506258000,4178.21,1.647,1.674,596926.33,1077568.74,1.805
1506261600,19432.46,1.736,1.805,349176.32,653829,1.872
1506265200,60.01,1.731,1.872,374046.47,669844.12,1.791
1506268800,1.922,1.842,1.866,4107.72,7566.02,1.842
1506272400,1.797,1.658,1.745,325488.17,549782.89,1.689
1506276000,3397.93,1.468,1.689,263153.55,430128.05,1.635
1506279600,3359.21,1.615,1.635,167909.52,286869.83,1.708
1506283200,1.744,1.655,1.708,164059.24,284106.57,1.732
1506286800,1.807,1.729,1.732,173612.27,313704.42,1.807
1506290400,1.85,1.746,1.807,202098.14,372001.16,1.841
1506294000,3682.28,1.811,1.841,176189.48,325335.35,1.847
1506297600,1.891,1.819,1.847,145171.98,271864.61,1.873
1506301200,1.901,1.849,1.873,220493.89,419267.75,1.901
1506304800,4612.63,1.911,1.901,173795.14,344138.53,1.98
1506308400,2.141,1.97,1.98,350834.04,747430.93,2.13
1506312000,2.446,2.145,2.13,634932.49,1401137.02,2.207
1506315600,2.401,2.193,2.207,489469.12,1169396.16,2.389
1506319200,7707.32,2.241,2.389,485062.28,3737128188,7704.43
1506322800,7740.7,2.408,7704.43,614213.86,1523312.29,2.48
1506326400,2.51,2.328,2.48,368984.68,888151.91,2.407
1506330000,2.419,2.162,2.407,379614.73,907259.5,2.39
1506333600,2.401,2.273,2.39,190941.07,440567.45,2.307
1506337200,2.351,2.27,2.307,88893.33,202060.49,2.273
1506340800,2580.46,2.262,2.273,156021.94,373909.05,2.397
1506344400,36549.4,2.308,2.397,92853.17,219045.05,2.359
1506348000,24926.7,2.365,2.359,206385.33,1595162081,7729.05
1506351600,24181.59,2.33,7729.05,209348.59,495074.76,2.365
1506355200,2222.4,2.349,2.365,119725.82,283864.18,2.371
1506358800,152.62,2.315,2.371,142580.7,336714.6,2.362
1506362400,2.37,2.29,2.362,131152.96,301107.9,2.296
1506366000,2.357,2.293,2.296,107713.82,248340.46,2.306
1506369600,2.396,2.169,2.306,258207.36,609765.48,2.362
1506373200,2.373,2.201,2.362,104540.8,244186.79,2.336
1506376800,336.56,2.222,2.336,84515.23,198513.59,2.349
1506380400,2.43,2.333,2.349,149847.89,355453.45,2.372
1506384000,2.451,2.355,2.372,173474.12,409537.7,2.361
1506387600,2.418,2.362,2.361,107253.92,256763.08,2.394
1506391200,2.423,2.387,2.394,88322.41,213966.21,2.423
1506394800,2.404,2.346,2.423,129707.8,310095.01,2.391
1506398400,2.422,2.105,2.391,468986.45,1074162.81,2.29
1506402000,2.264,2.116,2.29,163319.23,355867.36,2.179
1506405600,2.252,2.109,2.179,124259.96,265619.29,2.138
1506409200,2.166,1.92,2.138,372080.37,727025.32,1.954
1506412800,2.011,1.691,1.954,669056.22,1281477.5,1.915
1506416400,2.03,1.887,1.915,264491.74,520600.31,1.968
1506420000,1.989,1.869,1.968,146951.62,277025.72,1.885
1506423600,1.963,1.828,1.885,178276.03,349890.69,1.963
1506427200,2.088,1.927,1.963,149723.31,295301.26,1.972
1506430800,2535.13,1.88,1.972,84545.35,171097.05,2.024
1506434400,2.083,1.946,2.024,83281.94,168602.52,2.024
1506438000,2.035,2.008,2.024,46807.74,95099.91,2.032
1506441600,2.022,1.925,2.032,63491.99,124510.06,1.961
1506445200,2.008,1.93,1.961,75377.89,150872.77,2.002
1506448800,2735.49,1.926,2.002,78104.63,152452.13,1.952
1506452400,2759.76,1.863,1.952,71660.26,133506.94,1.863
1506456000,3.04,1.822,1.863,121935.69,223129.5,1.83
1506459600,1.835,1.756,1.83,109144.36,198102.19,1.815
1506463200,1.818,1.777,1.815,69640.78,125290.25,1.799
1506466800,1.853,1.792,1.799,52637.13,96962.88,1.842
1506470400,1.955,1.849,1.842,54799.57,105426.12,1.924
1506474000,1.927,1.789,1.924,85151.95,152963.98,1.796
1506477600,1.868,1.801,1.796,60191.44,109680.86,1.822
1506481200,1.851,1.812,1.822,41827.14,76152.28,1.821
1506484800,1.847,1.816,1.821,22065.81,40614.04,1.841
1506488400,1.871,1.826,1.841,67766.42,126200.97,1.862
1506492000,21299.98,1.826,1.862,57299.68,105684.2,1.844
1506495600,1.844,1.797,1.844,58018.02,104667.35,1.804
1506499200,1.836,1.789,1.804,34446,61776.5,1.793
1506502800,1.81,1.765,1.793,129900.85,229966.37,1.77
1506506400,1.848,1.75,1.77,195046,359394.26,1.843
1506510000,1.847,1.502,1.843,92342.77,162163.54,1.756
1506513600,1.754,1.629,1.756,163702.55,273126.45,1.668
1506517200,1.663,1.508,1.668,369498.21,596356.2,1.614
1506520800,1.648,1.497,1.614,239961.91,379654.99,1.582
1506524400,1.592,1.313,1.582,694773.59,1041326.66,1.499
