timestamp,sum,mean,median,count,rate,btc_price,last
1582142381.7895174,491.14,0.19,0.15,2589,1.44,10165.86,0.08
1582142411.8759646,496.47,0.19,0.15,2624,1.5,10165.86,0.48
1582142441.9774222,504.62,0.19,0.15,2648,1.53,10169.88,-0.08
1582142472.5181358,505.37,0.19,0.15,2660,1.55,10161.65,-0.17
1582142502.8461437,504.32,0.19,0.15,2665,1.55,10161.61,0.33
1582142534.1941795,502.04,0.19,0.15,2665,1.55,10160.53,0.24
1582142564.7825103,502.49,0.19,0.15,2665,1.56,10152.01,0.27
1582142594.9319324,502.12,0.19,0.15,2674,1.56,10142.51,-0.25
1582142625.2140563,506.77,0.19,0.15,2694,1.57,10146.53,0.15
1582142655.7553327,509.06,0.19,0.15,2695,1.57,10142.46,0.3
1582142685.7882168,511.03,0.19,0.15,2697,1.57,10139.23,0.2
1582142716.590567,508.89,0.19,0.15,2699,1.57,10139.28,0.17
1582142746.948605,519.59,0.19,0.15,2714,1.58,10137.66,-0.54
1582142777.5845098,522.83,0.19,0.16,2718,1.57,10136.1,0.87
1582142809.4729455,524.41,0.19,0.16,2719,1.57,10142.39,0.48
1582142840.3078039,522.85,0.19,0.17,2698,1.57,10142.37,0.48
1582142870.383874,523.35,0.19,0.16,2709,1.57,10145.79,0.54
1582142901.0645678,518.24,0.19,0.16,2706,1.57,10140.84,-0.15
1582142931.2123613,520.02,0.19,0.16,2720,1.58,10146.64,0.24
1582142962.52285,517.96,0.19,0.16,2720,1.58,10148.02,0.51
1582142992.5856285,519,0.19,0.16,2720,1.58,10146.81,0.04
1582143023.0732322,524.26,0.19,0.17,2730,1.58,10146.82,0.23
1582143053.2833588,525.64,0.19,0.17,2725,1.58,10147.44,0.08
1582143084.9160273,524.5,0.19,0.17,2718,1.57,10142.12,0.19
1582143116.6701052,523.93,0.19,0.17,2716,1.57,10143.86,0.65
1582143147.8579097,519.89,0.19,0.17,2713,1.57,10144.81,0.11
1582143178.283325,520.73,0.19,0.17,2726,1.56,10145,-0.27
1582143209.6163888,530.3,0.19,0.17,2762,1.55,10143.99,0.5
1582143240.412268,539.42,0.19,0.17,2796,1.55,10153.87,0.08
1582143271.8952157,542.02,0.19,0.17,2800,1.56,10161.63,0.38
1582143302.6253755,545.92,0.19,0.17,2813,1.56,10157.93,0.08
1582143335.0290372,548.5,0.19,0.17,2825,1.57,10155.53,0.26
1582143367.9126186,547.61,0.19,0.17,2842,1.58,10155.01,0.32
1582143398.4412222,551.99,0.19,0.17,2852,1.59,10148.57,0.45
1582143428.4901876,551.52,0.19,0.17,2856,1.59,10143.86,0.01
1582143459.0234027,548.12,0.19,0.17,2848,1.58,10141.97,-0.18
1582143489.117571,553.58,0.19,0.17,2857,1.59,10145.43,0.08
1582143519.1731796,555.38,0.19,0.17,2860,1.59,10155.03,-0.46
1582143549.3474524,558.47,0.2,0.17,2863,1.59,10144.35,0.08
1582143579.9542491,556.5,0.19,0.17,2869,1.59,10141.32,0.21
1582143610.6607852,556.76,0.19,0.17,2881,1.6,10143.64,0.22
1582143641.3991323,553.99,0.19,0.17,2885,1.6,10147.22,0.08
1582143671.5543826,554.26,0.19,0.17,2891,1.61,10153.46,0.13
1582143702.3944745,551.16,0.19,0.17,2877,1.6,10152.8,0.08
1582143732.4341428,547.75,0.19,0.17,2873,1.6,10155.2,-0.23
1582143763.5505426,551.03,0.19,0.17,2883,1.6,10154.51,-0.23
1582143793.588309,549.71,0.19,0.17,2881,1.6,10152.8,0.07
1582143824.1487725,546.64,0.19,0.17,2858,1.59,10143.63,0.04
1582143855.1941013,546.78,0.19,0.17,2851,1.59,10145.21,0.22
1582143886.1763098,540.85,0.19,0.17,2846,1.58,10145.2,-0.04
1582143916.295936,541.57,0.19,0.17,2845,1.58,10145.05,0.47
1582143946.4973528,538.43,0.19,0.16,2855,1.59,10145.06,0.93
1582143976.9018257,543.67,0.19,0.17,2855,1.59,10145.05,0.26
1582144007.3391175,543.36,0.19,0.16,2860,1.59,10142.46,0.45
1582144038.4461381,543.26,0.19,0.17,2851,1.58,10136.83,-0.15
1582144069.3232303,543.28,0.19,0.17,2858,1.59,10135.01,-0.08
1582144101.111156,546.22,0.19,0.17,2853,1.59,10135,-0.23
1582144132.777764,545.04,0.19,0.17,2850,1.58,10135,-0.66
