time,high,low,open,volumefrom,volumeto,close
1503021600,1.51,1.5,1.5,76443,114646.54,1.5
1503025200,1.51,1.49,1.5,97198.1,145441.03,1.49
1503028800,1.5,1.49,1.49,86301.11,128647.9,1.5
1503032400,1.51,1.49,1.5,80617.56,120280.63,1.5
1503036000,1.52,1.5,1.5,96799.76,145925.97,1.51
1503039600,1.52,1.49,1.51,218833.29,327182.13,1.49
1503043200,1.51,1.43,1.49,309907.77,450661.09,1.46
1503046800,1.48,1.46,1.46,121030.07,177403.45,1.48
1503050400,1.5,1.46,1.48,115201.9,170502.19,1.49
1503054000,1.5,1.46,1.49,203140.14,298591.91,1.46
1503057600,1.46,1.44,1.46,96666.74,140470.57,1.45
1503061200,1.47,1.43,1.45,172906.86,252132.33,1.45
1503064800,1.45,1.42,1.45,238839.21,339608.79,1.43
1503068400,1.45,1.43,1.43,105937.64,151569.91,1.44
1503072000,1.45,1.42,1.44,135445.75,194392.53,1.43
1503075600,1.44,1.42,1.43,159576.13,231599,1.42
1503079200,1.42,1.39,1.42,147078.33,207015.38,1.4
1503082800,1.41,1.35,1.4,138773.57,192178.6,1.4
1503086400,1.4,1.36,1.4,125542.76,172295.89,1.38
1503090000,1.39,1.37,1.38,136966.08,189001.36,1.38
1503093600,1.41,1.38,1.38,106819.8,149004.68,1.39
1503097200,1.42,1.39,1.39,115184.6,161576.87,1.4
1503100800,1.43,1.39,1.4,50575.57,71409.54,1.42
1503104400,1.44,1.41,1.42,55848.84,79564.56,1.42
1503108000,1.43,1.41,1.42,54619.87,77789.31,1.43
1503111600,1.43,1.41,1.43,50788.23,71897.16,1.41
1503115200,1.42,1.39,1.41,52911.84,74637.26,1.4
1503118800,1.4,1.38,1.4,92301.46,128732.94,1.38
1503122400,1.38,1.34,1.38,115970.73,157869.72,1.36
1503126000,1.38,1.35,1.36,59512.04,80925.47,1.36
1503129600,1.38,1.34,1.36,95777.86,129565.9,1.34
1503133200,1.37,1.33,1.34,144026.57,195518.9,1.34
1503136800,1.35,1.31,1.34,292412.97,384574.27,1.31
1503140400,1.32,1.29,1.31,298821.26,395790.08,1.3
1503144000,1.37,1.3,1.3,131313.39,175514.23,1.36
1503147600,1.39,1.35,1.36,170495.79,233296.66,1.39
1503151200,1.4,1.37,1.39,147585.31,203084.52,1.37
1503154800,1.37,1.34,1.37,100863.17,135806.46,1.34
1503158400,1.37,1.33,1.34,166801.15,227878.92,1.35
1503162000,1.39,1.34,1.35,130775.4,178933.57,1.38
1503165600,1.42,1.37,1.38,122430.5,172849.41,1.39
1503169200,1.41,1.39,1.39,105249.42,147383.75,1.4
1503172800,1.4,1.37,1.4,89323.28,123765.3,1.39
