time,high,low,open,volumefrom,volumeto,close
1445421600,0.04,0.04,0.04,0,0,0.04
1445425200,0.04,0.04,0.04,0,0,0.04
1445428800,0.08235,0.08235,0.08219,10,0.8235,0.08235
1445432400,0.0859,0.08194,0.08235,78.32,6.728,0.0859
1445436000,0.04,0.04,0.04,0,0,0.04
1445439600,0.08691,0.08691,0.08668,13.52,1.175,0.08691
1445443200,0.08709,0.08307,0.08691,57,4.735,0.08307
1445446800,0.09097,0.08285,0.08307,540.53,49.17,0.09097
1445450400,0.04,0.04,0.04,0,0,0.04
1445454000,0.04,0.04,0.04,0,0,0.04
1445457600,0.09141,0.09141,0.09118,30,2.742,0.09141
1445461200,0.09123,0.08306,0.09141,44.9,3.729,0.08306
1445464800,0.04,0.04,0.04,0,0,0.04
1445468400,0.04,0.04,0.04,0,0,0.04
1445472000,0.04,0.04,0.04,0,0,0.04
1445475600,0.04,0.04,0.04,0,0,0.04
1445479200,0.09047,0.08319,0.08298,2.065,0.1868,0.09047
1445482800,0.09867,0.08641,0.09047,2,0.1728,0.08641
1445486400,0.04,0.04,0.04,0,0,0.04
1445490000,0.04,0.04,0.04,0,0,0.04
1445493600,0.08687,0.08342,0.08662,141,11.76,0.08342
1445497200,0.09163,0.08335,0.08342,2,0.1833,0.09163
1445500800,0.09982,0.08383,0.09163,592.62,59.15,0.09982
1445504400,0.04,0.04,0.04,0,0,0.04
1445508000,0.04,0.04,0.04,0,0,0.04
1445511600,0.04,0.04,0.04,0,0,0.04
1445515200,0.1018,0.08554,0.1023,105,8.981,0.08554
1445518800,0.08472,0.08472,0.08554,81,6.863,0.08472
1445522400,0.04,0.04,0.04,0,0,0.04
1445526000,0.04,0.04,0.04,0,0,0.04
1445529600,0.04,0.04,0.04,0,0,0.04
1445533200,0.04,0.04,0.04,0,0,0.04
1445536800,0.08462,0.08462,0.08441,42,3.554,0.08462
1445540400,0.04,0.04,0.04,0,0,0.04
1445544000,0.08481,0.08481,0.08452,45,3.816,0.08481
1445547600,0.04,0.04,0.04,0,0,0.04
1445551200,0.04,0.04,0.04,0,0,0.04
1445554800,0.04,0.04,0.04,0,0,0.04
1445558400,0.04,0.04,0.04,0,0,0.04
1445562000,0.04,0.04,0.04,0,0,0.04
1445565600,0.04,0.04,0.04,0,0,0.04
1445569200,0.04,0.04,0.04,0,0,0.04
1445572800,0.04,0.04,0.04,0,0,0.04
1445576400,0.08826,0.08826,0.0879,2.017,0.178,0.08826
1445580000,0.08886,0.08886,0.08826,2.796,0.2484,0.08886
1445583600,0.08866,0.08575,0.08886,199.2,17.08,0.08575
1445587200,0.08636,0.08636,0.08575,45,3.886,0.08636
1445590800,0.04,0.04,0.04,0,0,0.04
1445594400,0.04,0.04,0.04,0,0,0.04
1445598000,0.08609,0.08609,0.08565,251,21.61,0.08609
1445601600,0.09336,0.08534,0.08609,112.35,10.49,0.09336
1445605200,0.04,0.04,0.04,0,0,0.04
1445608800,0.04,0.04,0.04,0,0,0.04
1445612400,0.04,0.04,0.04,0,0,0.04
1445616000,0.09377,0.08571,0.0937,39,3.343,0.08571
1445619600,0.04,0.04,0.04,0,0,0.04
1445623200,0.1017,0.08541,0.08544,92.93,9.448,0.1017
1445626800,0.04,0.04,0.04,0,0,0.04
1445630400,0.102,0.08669,0.1023,33.21,2.879,0.08669
1445634000,0.04,0.04,0.04,0,0,0.04
1445637600,0.04,0.04,0.04,0,0,0.04
1445641200,0.04,0.04,0.04,0,0,0.04
1445644800,0.04,0.04,0.04,0,0,0.04
1445648400,0.04,0.04,0.04,0,0,0.04
1445652000,0.04,0.04,0.04,0,0,0.04
1445655600,0.04,0.04,0.04,0,0,0.04
1445659200,0.04,0.04,0.04,0,0,0.04
1445662800,0.04,0.04,0.04,0,0,0.04
1445666400,0.09287,0.09287,0.09328,3.844,0.357,0.09287
1445670000,0.04,0.04,0.04,0,0,0.04
1445673600,0.1028,0.093,0.09298,2,0.2056,0.1028
1445677200,0.1022,0.09246,0.1028,1.156,0.1069,0.09246
1445680800,0.04,0.04,0.04,0,0,0.04
1445684400,0.09271,0.09271,0.09287,1,0.09271,0.09271
1445688000,0.09309,0.08745,0.09271,2,0.1862,0.09309
1445691600,0.04,0.04,0.04,0,0,0.04
1445695200,0.04,0.04,0.04,0,0,0.04
1445698800,0.04,0.04,0.04,0,0,0.04
1445702400,0.04,0.04,0.04,0,0,0.04
1445706000,0.09321,0.08756,0.0936,38.9,3.406,0.08756
1445709600,0.04,0.04,0.04,0,0,0.04
1445713200,0.04,0.04,0.04,0,0,0.04
1445716800,0.04,0.04,0.04,0,0,0.04
1445720400,0.04,0.04,0.04,0,0,0.04
1445724000,0.04,0.04,0.04,0,0,0.04
1445727600,0.04,0.04,0.04,0,0,0.04
1445731200,0.08895,0.08895,0.08852,57,5.07,0.08895
1445734800,0.04,0.04,0.04,0,0,0.04
1445738400,0.09495,0.09441,0.09458,402.44,38.21,0.09495
1445742000,0.1063,0.09613,0.09495,8.5,0.8171,0.09613
1445745600,0.04,0.04,0.04,0,0,0.04
1445749200,0.04,0.04,0.04,0,0,0.04
1445752800,0.04,0.04,0.04,0,0,0.04
1445756400,0.09642,0.09058,0.09702,1,0.09058,0.09058
1445760000,0.09077,0.09077,0.09058,15.11,1.372,0.09077
1445763600,0.04,0.04,0.04,0,0,0.04
1445767200,0.04,0.04,0.04,0,0,0.04
1445770800,0.04,0.04,0.04,0,0,0.04
1445774400,0.04,0.04,0.04,0,0,0.04
1445778000,0.09055,0.09055,0.09048,684.94,62.02,0.09055
1445781600,0.09164,0.09164,0.09055,35.06,3.213,0.09164
1445785200,0.1022,0.09188,0.09164,5.102,0.5213,0.1022
1445788800,0.04,0.04,0.04,0,0,0.04
1445792400,0.1017,0.1017,0.1017,73.84,7.51,0.1017
1445796000,0.1022,0.1022,0.1017,0.0006606,0.0000675,0.1022
1445799600,0.04,0.04,0.04,0,0,0.04
1445803200,0.04,0.04,0.04,0,0,0.04
1445806800,0.04,0.04,0.04,0,0,0.04
1445810400,0.04,0.04,0.04,0,0,0.04
