timestamp,sum,mean,median,count,rate,btc_price,last
1581565866.355354,198.46,0.15,0.14,1341,0.75,10406.71,-0.02
1581565898.3118412,196.05,0.15,0.14,1330,0.74,10408.85,0.2
1581565930.860416,192.69,0.14,0.14,1331,0.74,10404.49,0.3
1581565961.2143557,190.52,0.14,0.14,1327,0.74,10403.16,0
1581565992.2933557,191.9,0.15,0.14,1321,0.73,10409.52,0.25
1581566023.5676472,191.27,0.15,0.14,1316,0.73,10406.24,0
1581566055.9633288,192.57,0.15,0.14,1317,0.73,10406.24,-0.33
1581566086.901565,193.16,0.15,0.14,1304,0.72,10411.71,0
1581566120.3344805,195.81,0.15,0.14,1299,0.72,10402.98,0
1581566152.4704285,200.59,0.16,0.14,1294,0.72,10402.91,0.4
1581566183.3487005,206.67,0.16,0.14,1293,0.72,10407.3,0.4
1581566217.3048813,211.77,0.16,0.14,1285,0.71,10407.3,0.3
1581566247.7628202,218.11,0.17,0.14,1287,0.72,10409.95,0.81
1581566279.1142185,218,0.17,0.14,1272,0.71,10411.71,0.2
1581566309.533901,218.38,0.17,0.14,1266,0.7,10406.7,0
1581566339.9350631,217.84,0.17,0.14,1266,0.7,10406.69,0.12
1581566370.931073,221.23,0.18,0.14,1257,0.7,10406.69,0.23
1581566403.1340418,221.12,0.18,0.15,1253,0.7,10409.43,-0.25
1581566434.0014887,223.24,0.17,0.15,1278,0.71,10416.77,0.23
1581566466.015951,224.33,0.18,0.15,1279,0.71,10422.31,0.4
1581566497.560931,226.03,0.18,0.15,1285,0.71,10425,0.25
1581566528.8776536,231.76,0.18,0.15,1289,0.72,10427.68,0.08
1581566564.425431,231.3,0.18,0.16,1278,0.71,10425.84,0.05
1581566595.7459164,232.64,0.18,0.16,1279,0.71,10425.88,0.49
1581566627.0837502,234.57,0.18,0.17,1273,0.71,10425.84,0.29
1581566657.2677794,236.2,0.18,0.17,1280,0.71,10426.63,0.24
1581566689.2943873,239.52,0.19,0.17,1276,0.71,10426.69,0.5
1581566719.3939784,240.58,0.19,0.18,1277,0.71,10426.74,0.4
1581566751.6074975,241.49,0.19,0.18,1275,0.71,10427.05,0.22
1581566784.0474608,244,0.19,0.19,1278,0.71,10425.84,-0.25
1581566817.9066458,245.86,0.19,0.19,1277,0.71,10425.87,-0.4
1581566847.9968991,245.52,0.19,0.18,1295,0.72,10425.9,0.14
1581566878.1495135,245.29,0.19,0.19,1302,0.72,10425.84,0.4
1581566908.469776,246.8,0.19,0.19,1305,0.73,10425.91,0.4
1581566940.4403558,248.91,0.19,0.2,1306,0.73,10429.44,0.45
1581566970.9869144,248.84,0.19,0.19,1306,0.73,10429.44,0.17
1581567003.147042,253.16,0.19,0.2,1304,0.72,10433.81,1
1581567033.796658,257.53,0.2,0.2,1307,0.73,10429.59,0.42
1581567066.8007014,258.44,0.2,0.2,1302,0.72,10430.54,-0.2
1581567098.2851121,258,0.2,0.2,1307,0.73,10431.32,0.29
1581567129.8083847,261.87,0.2,0.2,1317,0.73,10438.04,0.8
1581567162.7298996,262.79,0.2,0.2,1319,0.73,10436.92,-0.08
1581567192.956479,265.8,0.2,0.2,1326,0.74,10436.91,-0.2
1581567224.9539804,264.22,0.2,0.2,1323,0.74,10440,-0.1
1581567255.6159303,263.91,0.2,0.2,1313,0.73,10436.98,0.43
1581567286.6572275,263.45,0.2,0.2,1321,0.73,10437.07,0
1581567318.776845,264.12,0.2,0.2,1325,0.74,10437.13,0.5
1581567350.0991497,269.67,0.2,0.21,1333,0.74,10437.17,0.67
1581567381.2862387,269.29,0.2,0.2,1345,0.75,10432.5,-0.1
1581567412.6625597,271.07,0.2,0.2,1352,0.75,10431.23,-0.2
1581567442.8569345,272.97,0.2,0.2,1348,0.75,10429.61,0.3
1581567472.9683633,275.26,0.2,0.2,1350,0.75,10429.73,0.9
1581567503.0917552,277.07,0.2,0.2,1354,0.75,10429.88,0.5
1581567535.5853424,278.4,0.21,0.2,1355,0.75,10429.93,0.1
1581567565.7497137,278.32,0.21,0.2,1354,0.75,10429.79,0.5
1581567596.1149156,277.93,0.2,0.2,1356,0.75,10429.79,0.53
1581567626.4888005,279.53,0.21,0.2,1361,0.76,10430,-0.3
1581567657.7211752,280.22,0.2,0.2,1372,0.76,10435,0.5
1581567687.7498293,278.84,0.2,0.2,1373,0.76,10429.01,0.4
1581567718.784818,280.89,0.2,0.2,1373,0.76,10431.75,-0.25
1581567751.5029905,281.21,0.2,0.2,1375,0.76,10429.11,0.5
1581567782.7739456,282.07,0.2,0.2,1378,0.77,10430.59,0
1581567812.8543448,283.52,0.21,0.2,1382,0.77,10429.01,0.21
1581567843.1935942,285.13,0.21,0.2,1386,0.77,10427.01,-0.08
1581567873.9076393,287.55,0.21,0.2,1400,0.78,10424.85,0.41
1581567906.2650275,282.45,0.2,0.2,1401,0.78,10421.34,-0.25
1581567939.704207,282.36,0.2,0.2,1395,0.78,10424.83,0.5
1581567970.3699477,280.9,0.2,0.2,1396,0.78,10425,0.5
1581568002.132468,277.87,0.2,0.2,1384,0.77,10419.75,-0.1
1581568035.944853,279.28,0.2,0.2,1376,0.76,10419.61,0.14
1581568066.6433442,274.55,0.2,0.2,1371,0.76,10416.99,-0.3
1581568098.9042618,276.84,0.2,0.2,1372,0.76,10426.11,-0.03
1581568133.09084,274.01,0.2,0.2,1370,0.76,10426.29,-0.5
1581568163.9896715,275.05,0.2,0.2,1372,0.76,10422.54,0.5
1581568194.21448,277.04,0.2,0.2,1377,0.77,10413.65,0.53
1581568227.5013638,271.62,0.2,0.2,1341,0.75,10415.03,0.07
1581568258.1974218,273.7,0.21,0.2,1334,0.74,10412.05,0.14
1581568290.0937924,276.68,0.21,0.2,1337,0.74,10416.99,1
1581568320.3634627,274.21,0.21,0.19,1337,0.75,10422.91,0.27
1581568350.6489208,272.38,0.2,0.19,1342,0.75,10428.51,-0.3
1581568381.1958828,271.39,0.2,0.19,1348,0.75,10428.52,-0.04
1581568411.9892898,270.66,0.2,0.19,1348,0.75,10430.41,0.19
1581568443.332203,270.78,0.2,0.19,1345,0.75,10430.05,0.25
1581568474.090902,270.6,0.2,0.19,1344,0.75,10426.37,0.2
1581568505.924913,271.08,0.2,0.19,1339,0.74,10422.64,0.53
1581568536.9685059,273.1,0.2,0.19,1347,0.75,10421.88,0
1581568567.8655143,275.39,0.2,0.18,1358,0.76,10419.67,0
1581568598.6625671,274.22,0.2,0.17,1368,0.76,10417.8,0.17
